id_canton;id_provincia;nombre;cant_habitantes
1;1;San José;288054
2;1;Escazú;56509
3;1;Desamparados;208411
4;1;Puriscal;33004
5;1;Tarrazú;16280
6;1;Aserrí;57892
7;1;Mora ;26294
8;1;Goicochea;115084
9;1;Santa Ana;49123
10;1;Alajuelita;77603
11;1;Vazquez de Coronado;60486
12;1;Acosta;20209
13;1;Tibás;64842
14;1;Moravia;56919
15;1;Montes de Oca;49132
16;1;Turrubares;5512
17;1;Dota;6948
18;1;Curridabat;65206
19;1;Peréz Zeledón;134534
20;1;León Cortés;12200
21;2;Alajuela;254886
22;2;San Ramón ;80566
23;2;Grecia;76898
24;2;San Mateo;6136
25;2;Atenas;25460
26;2;Naranjo;42713
27;2;Palmares;34716
28;2;Poás;29199
29;2;Orotina;20341
30;2;San Carlos;163745
31;2;Zarcero;12205
32;2;Valverde Vega;18085
33;2;Upala;43953
34;2;Los Chiles;23735
35;2;Guatuso;15508
36;3;Cartago;147898
37;3;Paraíso;57743
38;3;La Unión;99399
39;3;Jiménez;14669
40;3;Turrialba;69616
41;3;Alvarado ;14312
42;3;Oreamuno ;45473
43;3;El Guarco ;41793
44;4;Heredia;123616
45;4;Barva;40660
46;4;Santo Domingo ;40072
47;4;Santa Bárbara;36243
48;4;San Rafael ;45965
49;4;San Isidro;20633
50;4;Belén;21633
51;4;Flores;20037
52;4;San Pablo ;27671
53;4;Sarapiquí;57147
54;5;Liberia;62987
55;5;Nicoya;50825
56;5;Santa Cruz;55104
57;5;Bagaces;19536
58;5;Carrillo;37122
59;5;Cañas;26201
60;5;Abangares;18039
61;5;Tilarán;19640
62;5;Nandayure;11121
63;5;La Cruz;19181
64;5;Hojancha;7197
65;6;Puntarenas;115019
66;6;Esparza;28644
67;6;Buenos Aires;45244
68;6;Montes de Oro;12950
69;6;Osa;29433
70;6;Aguirre;26861
71;6;Golfito;39150
72;6;Coto Brus ;38453
73;6;Parrita;16115
74;6;Corredores;41831
75;6;Garabito;17229
76;7;Limón;94415
77;7;Pococí;125962
78;7;Siquirres;56786
79;7;Talamanca;30712
80;7;Matina;37721
81;7;Guácimo;41266
